Gene,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
group_8959,1,1,1,1,1,1,1,1
group_8945,1,1,1,1,1,1,1,1
group_8942,1,1,1,1,1,1,1,1
mliC,1,1,1,1,1,1,1,1
group_8941,1,1,1,1,1,1,1,1
group_8940,1,1,1,1,1,1,1,1
group_8938,1,1,1,1,1,1,1,1
nuoN,1,1,1,1,1,1,1,1
sdhC,1,1,1,1,1,1,1,1
iscU,1,1,1,1,1,1,1,1
group_8921,1,1,1,1,1,1,1,1
xtmA,1,1,1,1,1,1,1,1
murE,1,1,1,1,1,1,1,1
dtd,1,1,1,1,1,1,1,1
cioA,1,1,1,1,1,1,1,1
group_8899,1,1,1,1,1,1,1,1
hmp,1,1,1,1,1,1,1,1
rpsI,1,1,1,1,1,1,1,1
group_8880,1,1,1,1,1,1,1,1
group_8848,1,1,1,1,1,1,1,1
group_8845,1,1,1,1,1,1,1,1
group_8833,1,1,1,1,1,1,1,1
group_8831,1,1,1,1,1,1,1,1
group_8830,1,1,1,1,1,1,1,1
fur,1,1,1,1,1,1,1,1
mraZ,1,1,1,1,1,1,1,1
group_8823,1,1,1,1,1,1,1,1
flgB,1,1,1,1,1,1,1,1
sspB,1,1,1,1,1,1,1,1
group_8796,1,1,1,1,1,1,1,1
rnpA,1,1,1,1,1,1,1,1
group_8783,1,1,1,1,1,1,1,1
nusA,1,1,1,1,1,1,1,1
group_8782,1,1,1,1,1,1,1,1
group_8781,1,1,1,1,1,1,1,1
group_8780,1,1,1,1,1,1,1,1
group_8767,1,1,1,1,1,1,1,1
group_8766,1,1,1,1,1,1,1,1
group_8754,1,1,1,1,1,1,1,1
rpsF,1,1,1,1,1,1,1,1
group_8734,1,1,1,1,1,1,1,1
group_8733,1,1,1,1,1,1,1,1
group_8718,1,1,1,1,1,1,1,1
elaA,1,1,1,1,1,1,1,1
group_8716,1,1,1,1,1,1,1,1
osmC,1,1,1,1,1,1,1,1
atpC,1,1,1,1,1,1,1,1
fUI1,1,1,1,1,1,1,1,1
group_8708,1,1,1,1,1,1,1,1
rplM,1,1,1,1,1,1,1,1
bauC,1,1,1,1,1,1,1,1
group_8698,1,1,1,1,1,1,1,1
ndk,1,1,1,1,1,1,1,1
group_8687,1,1,1,1,1,1,1,1
ruvX,1,1,1,1,1,1,1,1
group_8677,1,1,1,1,1,1,1,1
group_8676,1,1,1,1,1,1,1,1
tolR,1,1,1,1,1,1,1,1
flgC,1,1,1,1,1,1,1,1
exbD,1,1,1,1,1,1,1,1
norC,1,1,1,1,1,1,1,1
adeC~~~oprJ,1,1,1,1,1,1,1,1
purF,1,1,1,1,1,1,1,1
group_8648,1,1,1,1,1,1,1,1
ybgC,1,1,1,1,1,1,1,1
rnhA,1,1,1,1,1,1,1,1
rplI,1,1,1,1,1,1,1,1
group_8628,1,1,1,1,1,1,1,1
yhcB,1,1,1,1,1,1,1,1
xcpR,1,1,1,1,1,1,1,1
group_8618,1,1,1,1,1,1,1,1
yqeY,1,1,1,1,1,1,1,1
group_8617,1,1,1,1,1,1,1,1
group_8616,1,1,1,1,1,1,1,1
group_8602,1,1,1,1,1,1,1,1
group_8601,1,1,1,1,1,1,1,1
group_8593,1,1,1,1,1,1,1,1
group_8592,1,1,1,1,1,1,1,1
cytC556,1,1,1,1,1,1,1,1
rimP,1,1,1,1,1,1,1,1
group_8568,1,1,1,1,1,1,1,1
group_8567,1,1,1,1,1,1,1,1
group_8564,1,1,1,1,1,1,1,1
slyB,1,1,1,1,1,1,1,1
creA,1,1,1,1,1,1,1,1
group_8538,1,1,1,1,1,1,1,1
rlmH,1,1,1,1,1,1,1,1
group_8536,1,1,1,1,1,1,1,1
group_8535,1,1,1,1,1,1,1,1
group_8515,1,1,1,1,1,1,1,1
ybaK,1,1,1,1,1,1,1,1
atpF,1,1,1,1,1,1,1,1
group_8501,1,1,1,1,1,1,1,1
ispF,1,1,1,1,1,1,1,1
group_8499,1,1,1,1,1,1,1,1
group_8494,1,1,1,1,1,1,1,1
group_8486,1,1,1,1,1,1,1,1
greA,1,1,1,1,1,1,1,1
group_8485,1,1,1,1,1,1,1,1
pA1464,1,1,1,1,1,1,1,1
coaD,1,1,1,1,1,1,1,1
rppH,1,1,1,1,1,1,1,1
smpB,1,1,1,1,1,1,1,1
yajQ,1,1,1,1,1,1,1,1
pA2364,1,1,1,1,1,1,1,1
group_8464,1,1,1,1,1,1,1,1
group_8462,1,1,1,1,1,1,1,1
moaC,1,1,1,1,1,1,1,1
group_8460,1,1,1,1,1,1,1,1
group_8459,1,1,1,1,1,1,1,1
group_8456,1,1,1,1,1,1,1,1
tse5,1,1,1,1,1,1,1,1
slpA,1,1,1,1,1,1,1,1
group_8445,1,1,1,1,1,1,1,1
group_8438,1,1,1,1,1,1,1,1
group_8435,1,1,1,1,1,1,1,1
ccmE,1,1,1,1,1,1,1,1
hcp,1,1,1,1,1,1,1,1
dadR,1,1,1,1,1,1,1,1
group_8428,1,1,1,1,1,1,1,1
sugE,1,1,1,1,1,1,1,1
group_8422,1,1,1,1,1,1,1,1
purE,1,1,1,1,1,1,1,1
secB,1,1,1,1,1,1,1,1
group_8409,1,1,1,1,1,1,1,1
group_8403,1,1,1,1,1,1,1,1
group_8386,1,1,1,1,1,1,1,1
pA2367,1,1,1,1,1,1,1,1
tpx,1,1,1,1,1,1,1,1
gH19,1,1,1,1,1,1,1,1
nuoE,1,1,1,1,1,1,1,1
nuoJ,1,1,1,1,1,1,1,1
pal,1,1,1,1,1,1,1,1
cirA~~~fiuA,1,1,1,1,1,1,1,1
pA1666,1,1,1,1,1,1,1,1
greB,1,1,1,1,1,1,1,1
group_8359,1,1,1,1,1,1,1,1
group_8345,1,1,1,1,1,1,1,1
lpoA,1,1,1,1,1,1,1,1
group_8334,1,1,1,1,1,1,1,1
cvpA,1,1,1,1,1,1,1,1
pgpA,1,1,1,1,1,1,1,1
hsiB1,1,1,1,1,1,1,1,1
group_8308,1,1,1,1,1,1,1,1
group_8307,1,1,1,1,1,1,1,1
gntK,1,1,1,1,1,1,1,1
group_8284,1,1,1,1,1,1,1,1
group_8273,1,1,1,1,1,1,1,1
bamE,1,1,1,1,1,1,1,1
group_8259,1,1,1,1,1,1,1,1
hslV,1,1,1,1,1,1,1,1
group_8258,1,1,1,1,1,1,1,1
group_8247,1,1,1,1,1,1,1,1
creD,1,1,1,1,1,1,1,1
rimM,1,1,1,1,1,1,1,1
atpH,1,1,1,1,1,1,1,1
group_8229,1,1,1,1,1,1,1,1
dsbE,1,1,1,1,1,1,1,1
group_8218,1,1,1,1,1,1,1,1
siaB,1,1,1,1,1,1,1,1
folE,1,1,1,1,1,1,1,1
mtnD,1,1,1,1,1,1,1,1
group_8194,1,1,1,1,1,1,1,1
group_8192,1,1,1,1,1,1,1,1
group_8190,1,1,1,1,1,1,1,1
group_8181,1,1,1,1,1,1,1,1
cOX11,1,1,1,1,1,1,1,1
purH,1,1,1,1,1,1,1,1
group_8164,1,1,1,1,1,1,1,1
group_8156,1,1,1,1,1,1,1,1
group_8155,1,1,1,1,1,1,1,1
group_8143,1,1,1,1,1,1,1,1
group_8142,1,1,1,1,1,1,1,1
group_8141,1,1,1,1,1,1,1,1
ppiA,1,1,1,1,1,1,1,1
group_8129,1,1,1,1,1,1,1,1
group_8128,1,1,1,1,1,1,1,1
efp,1,1,1,1,1,1,1,1
nudE,1,1,1,1,1,1,1,1
xpt,1,1,1,1,1,1,1,1
hupE,1,1,1,1,1,1,1,1
group_8083,1,1,1,1,1,1,1,1
group_8072,1,1,1,1,1,1,1,1
pyrG,1,1,1,1,1,1,1,1
group_8046,1,1,1,1,1,1,1,1
group_8042,1,1,1,1,1,1,1,1
sodB,1,1,1,1,1,1,1,1
group_8033,1,1,1,1,1,1,1,1
nfuA,1,1,1,1,1,1,1,1
pth,1,1,1,1,1,1,1,1
ynfA,1,1,1,1,1,1,1,1
group_8014,1,1,1,1,1,1,1,1
group_8013,1,1,1,1,1,1,1,1
group_8003,1,1,1,1,1,1,1,1
group_8002,1,1,1,1,1,1,1,1
group_7998,1,1,1,1,1,1,1,1
ycf19,1,1,1,1,1,1,1,1
rdgB,1,1,1,1,1,1,1,1
group_7949,1,1,1,1,1,1,1,1
hisB,1,1,1,1,1,1,1,1
group_7948,1,1,1,1,1,1,1,1
petA,1,1,1,1,1,1,1,1
gmhA,1,1,1,1,1,1,1,1
group_7935,1,1,1,1,1,1,1,1
napC,1,1,1,1,1,1,1,1
group_7904,1,1,1,1,1,1,1,1
group_7886,1,1,1,1,1,1,1,1
ruvA,1,1,1,1,1,1,1,1
group_7882,1,1,1,1,1,1,1,1
cc4,1,1,1,1,1,1,1,1
group_7869,1,1,1,1,1,1,1,1
nqrE,1,1,1,1,1,1,1,1
group_7868,1,1,1,1,1,1,1,1
group_7866,1,1,1,1,1,1,1,1
ettA,1,1,1,1,1,1,1,1
miaE,1,1,1,1,1,1,1,1
group_7850,1,1,1,1,1,1,1,1
aer2,1,1,1,1,1,1,1,1
gmk,1,1,1,1,1,1,1,1
coaE,1,1,1,1,1,1,1,1
group_7836,1,1,1,1,1,1,1,1
lexA,1,1,1,1,1,1,1,1
rplY,1,1,1,1,1,1,1,1
pA2368,1,1,1,1,1,1,1,1
tssE~~~pA1659,1,1,1,1,1,1,1,1
ribA,1,1,1,1,1,1,1,1
group_7804,1,1,1,1,1,1,1,1
lolB,1,1,1,1,1,1,1,1
group_7803,1,1,1,1,1,1,1,1
hflD,1,1,1,1,1,1,1,1
yjfI,1,1,1,1,1,1,1,1
group_7790,1,1,1,1,1,1,1,1
metW,1,1,1,1,1,1,1,1
group_7789,1,1,1,1,1,1,1,1
group_7775,1,1,1,1,1,1,1,1
group_7774,1,1,1,1,1,1,1,1
group_7773,1,1,1,1,1,1,1,1
rlmE,1,1,1,1,1,1,1,1
lolA,1,1,1,1,1,1,1,1
fdnI,1,1,1,1,1,1,1,1
group_7729,1,1,1,1,1,1,1,1
group_7727,1,1,1,1,1,1,1,1
siaC,1,1,1,1,1,1,1,1
group_7726,1,1,1,1,1,1,1,1
desT,1,1,1,1,1,1,1,1
group_7722,1,1,1,1,1,1,1,1
group_7713,1,1,1,1,1,1,1,1
group_7712,1,1,1,1,1,1,1,1
group_7711,1,1,1,1,1,1,1,1
dctQ,1,1,1,1,1,1,1,1
group_7694,1,1,1,1,1,1,1,1
pgsA,1,1,1,1,1,1,1,1
group_7690,1,1,1,1,1,1,1,1
soxG,1,1,1,1,1,1,1,1
leuD,1,1,1,1,1,1,1,1
hisH,1,1,1,1,1,1,1,1
group_7661,1,1,1,1,1,1,1,1
group_7647,1,1,1,1,1,1,1,1
group_7646,1,1,1,1,1,1,1,1
group_7645,1,1,1,1,1,1,1,1
group_7644,1,1,1,1,1,1,1,1
pyrE,1,1,1,1,1,1,1,1
yfgM,1,1,1,1,1,1,1,1
eda,1,1,1,1,1,1,1,1
coq7,1,1,1,1,1,1,1,1
group_7607,1,1,1,1,1,1,1,1
can,1,1,1,1,1,1,1,1
proC,1,1,1,1,1,1,1,1
group_7590,1,1,1,1,1,1,1,1
group_7588,1,1,1,1,1,1,1,1
leuE,1,1,1,1,1,1,1,1
group_7576,1,1,1,1,1,1,1,1
group_7575,1,1,1,1,1,1,1,1
lipB,1,1,1,1,1,1,1,1
dsbB2~~~dsbB,1,1,1,1,1,1,1,1
narL,1,1,1,1,1,1,1,1
ribE,1,1,1,1,1,1,1,1
group_7532,1,1,1,1,1,1,1,1
group_7522,1,1,1,1,1,1,1,1
group_7519,1,1,1,1,1,1,1,1
ybhL,1,1,1,1,1,1,1,1
ccmB,1,1,1,1,1,1,1,1
ftsE,1,1,1,1,1,1,1,1
rpiA,1,1,1,1,1,1,1,1
group_7480,1,1,1,1,1,1,1,1
rpe,1,1,1,1,1,1,1,1
nuoB,1,1,1,1,1,1,1,1
metP,1,1,1,1,1,1,1,1
ykaA,1,1,1,1,1,1,1,1
anvM,1,1,1,1,1,1,1,1
group_7452,1,1,1,1,1,1,1,1
group_7451,1,1,1,1,1,1,1,1
group_7437,1,1,1,1,1,1,1,1
narI,1,1,1,1,1,1,1,1
dnr,1,1,1,1,1,1,1,1
group_7436,1,1,1,1,1,1,1,1
modB,1,1,1,1,1,1,1,1
group_7420,1,1,1,1,1,1,1,1
csgG,1,1,1,1,1,1,1,1
gph1,1,1,1,1,1,1,1,1
pPPi,1,1,1,1,1,1,1,1
group_7412,1,1,1,1,1,1,1,1
aqpZ,1,1,1,1,1,1,1,1
nrdA,1,1,1,1,1,1,1,1
phoB,1,1,1,1,1,1,1,1
ftsI,1,1,1,1,1,1,1,1
group_7405,1,1,1,1,1,1,1,1
group_7395,1,1,1,1,1,1,1,1
group_7388,1,1,1,1,1,1,1,1
flgH,1,1,1,1,1,1,1,1
yebE,1,1,1,1,1,1,1,1
group_7368,1,1,1,1,1,1,1,1
mksE,1,1,1,1,1,1,1,1
group_7365,1,1,1,1,1,1,1,1
group_7355,1,1,1,1,1,1,1,1
pcs,1,1,1,1,1,1,1,1
oprG,1,1,1,1,1,1,1,1
ehuC,1,1,1,1,1,1,1,1
group_7296,1,1,1,1,1,1,1,1
group_7277,1,1,1,1,1,1,1,1
yigA,1,1,1,1,1,1,1,1
hda,1,1,1,1,1,1,1,1
group_7228,1,1,1,1,1,1,1,1
group_7224,1,1,1,1,1,1,1,1
sdhB,1,1,1,1,1,1,1,1
bpt,1,1,1,1,1,1,1,1
group_7202,1,1,1,1,1,1,1,1
group_7199,1,1,1,1,1,1,1,1
group_7198,1,1,1,1,1,1,1,1
group_7192,1,1,1,1,1,1,1,1
alpR,1,1,1,1,1,1,1,1
group_7190,1,1,1,1,1,1,1,1
group_7179,1,1,1,1,1,1,1,1
phnR,1,1,1,1,1,1,1,1
rph,1,1,1,1,1,1,1,1
group_7162,1,1,1,1,1,1,1,1
group_7156,1,1,1,1,1,1,1,1
group_7148,1,1,1,1,1,1,1,1
group_7130,1,1,1,1,1,1,1,1
phoU,1,1,1,1,1,1,1,1
mtgA,1,1,1,1,1,1,1,1
group_7100,1,1,1,1,1,1,1,1
group_7099,1,1,1,1,1,1,1,1
aruR,1,1,1,1,1,1,1,1
group_7091,1,1,1,1,1,1,1,1
nfeD,1,1,1,1,1,1,1,1
group_7069,1,1,1,1,1,1,1,1
hisA,1,1,1,1,1,1,1,1
motC,1,1,1,1,1,1,1,1
group_7054,1,1,1,1,1,1,1,1
rpsB,1,1,1,1,1,1,1,1
narJ,1,1,1,1,1,1,1,1
group_7044,1,1,1,1,1,1,1,1
amgR,1,1,1,1,1,1,1,1
pmpR,1,1,1,1,1,1,1,1
group_7026,1,1,1,1,1,1,1,1
group_7024,1,1,1,1,1,1,1,1
rlmB,1,1,1,1,1,1,1,1
flgF,1,1,1,1,1,1,1,1
etfB,1,1,1,1,1,1,1,1
group_6991,1,1,1,1,1,1,1,1
group_6990,1,1,1,1,1,1,1,1
hutC,1,1,1,1,1,1,1,1
group_6988,1,1,1,1,1,1,1,1
group_6985,1,1,1,1,1,1,1,1
group_6982,1,1,1,1,1,1,1,1
ccmC,1,1,1,1,1,1,1,1
group_6975,1,1,1,1,1,1,1,1
olsB,1,1,1,1,1,1,1,1
group_6966,1,1,1,1,1,1,1,1
group_6962,1,1,1,1,1,1,1,1
group_6961,1,1,1,1,1,1,1,1
group_6960,1,1,1,1,1,1,1,1
group_6959,1,1,1,1,1,1,1,1
group_6949,1,1,1,1,1,1,1,1
group_6948,1,1,1,1,1,1,1,1
aotP,1,1,1,1,1,1,1,1
group_6938,1,1,1,1,1,1,1,1
group_6937,1,1,1,1,1,1,1,1
group_6935,1,1,1,1,1,1,1,1
group_6919,1,1,1,1,1,1,1,1
group_6918,1,1,1,1,1,1,1,1
group_6916,1,1,1,1,1,1,1,1
group_6900,1,1,1,1,1,1,1,1
group_6898,1,1,1,1,1,1,1,1
group_6896,1,1,1,1,1,1,1,1
prtR,1,1,1,1,1,1,1,1
group_6895,1,1,1,1,1,1,1,1
hisF,1,1,1,1,1,1,1,1
group_6894,1,1,1,1,1,1,1,1
group_6892,1,1,1,1,1,1,1,1
yafJ,1,1,1,1,1,1,1,1
group_6882,1,1,1,1,1,1,1,1
hisP,1,1,1,1,1,1,1,1
pdhR,1,1,1,1,1,1,1,1
group_6881,1,1,1,1,1,1,1,1
algH,1,1,1,1,1,1,1,1
ilvD,1,1,1,1,1,1,1,1
group_6855,1,1,1,1,1,1,1,1
aotJ,1,1,1,1,1,1,1,1
group_6853,1,1,1,1,1,1,1,1
crc,1,1,1,1,1,1,1,1
group_6830,1,1,1,1,1,1,1,1
nirQ,1,1,1,1,1,1,1,1
cYT1,1,1,1,1,1,1,1,1
senC,1,1,1,1,1,1,1,1
nuoL,1,1,1,1,1,1,1,1
flgG,1,1,1,1,1,1,1,1
group_6819,1,1,1,1,1,1,1,1
group_6818,1,1,1,1,1,1,1,1
norV,1,1,1,1,1,1,1,1
group_6817,1,1,1,1,1,1,1,1
group_6804,1,1,1,1,1,1,1,1
group_6802,1,1,1,1,1,1,1,1
phhA,1,1,1,1,1,1,1,1
group_6801,1,1,1,1,1,1,1,1
minC,1,1,1,1,1,1,1,1
group_6786,1,1,1,1,1,1,1,1
group_6785,1,1,1,1,1,1,1,1
group_6784,1,1,1,1,1,1,1,1
cntL,1,1,1,1,1,1,1,1
group_6752,1,1,1,1,1,1,1,1
group_6749,1,1,1,1,1,1,1,1
thiG,1,1,1,1,1,1,1,1
lgt,1,1,1,1,1,1,1,1
group_6735,1,1,1,1,1,1,1,1
group_6733,1,1,1,1,1,1,1,1
tatC,1,1,1,1,1,1,1,1
rsmA,1,1,1,1,1,1,1,1
group_6692,1,1,1,1,1,1,1,1
yfaP,1,1,1,1,1,1,1,1
group_6682,1,1,1,1,1,1,1,1
mutM,1,1,1,1,1,1,1,1
group_6679,1,1,1,1,1,1,1,1
braC,1,1,1,1,1,1,1,1
group_6667,1,1,1,1,1,1,1,1
suhB,1,1,1,1,1,1,1,1
group_6652,1,1,1,1,1,1,1,1
group_6628,1,1,1,1,1,1,1,1
himA,1,1,1,1,1,1,1,1
ttcA,1,1,1,1,1,1,1,1
group_6586,1,1,1,1,1,1,1,1
nadE,1,1,1,1,1,1,1,1
group_6561,1,1,1,1,1,1,1,1
dapF,1,1,1,1,1,1,1,1
group_6560,1,1,1,1,1,1,1,1
mnmH,1,1,1,1,1,1,1,1
fleN,1,1,1,1,1,1,1,1
group_6551,1,1,1,1,1,1,1,1
pstB,1,1,1,1,1,1,1,1
allE,1,1,1,1,1,1,1,1
trpC,1,1,1,1,1,1,1,1
cvfB,1,1,1,1,1,1,1,1
group_6525,1,1,1,1,1,1,1,1
ctpM,1,1,1,1,1,1,1,1
ataC,1,1,1,1,1,1,1,1
ureD,1,1,1,1,1,1,1,1
hyi,1,1,1,1,1,1,1,1
pilN,1,1,1,1,1,1,1,1
group_6498,1,1,1,1,1,1,1,1
panC,1,1,1,1,1,1,1,1
folD,1,1,1,1,1,1,1,1
group_6465,1,1,1,1,1,1,1,1
rpoH,1,1,1,1,1,1,1,1
group_6452,1,1,1,1,1,1,1,1
group_6451,1,1,1,1,1,1,1,1
group_6450,1,1,1,1,1,1,1,1
qapR,1,1,1,1,1,1,1,1
purU,1,1,1,1,1,1,1,1
group_6438,1,1,1,1,1,1,1,1
atpG,1,1,1,1,1,1,1,1
rapZ,1,1,1,1,1,1,1,1
group_6435,1,1,1,1,1,1,1,1
group_6422,1,1,1,1,1,1,1,1
ssr3000,1,1,1,1,1,1,1,1
yicC,1,1,1,1,1,1,1,1
ftsQ,1,1,1,1,1,1,1,1
group_6419,1,1,1,1,1,1,1,1
group_6414,1,1,1,1,1,1,1,1
group_6411,1,1,1,1,1,1,1,1
osmE,1,1,1,1,1,1,1,1
group_6393,1,1,1,1,1,1,1,1
pA1668,1,1,1,1,1,1,1,1
group_6390,1,1,1,1,1,1,1,1
group_6389,1,1,1,1,1,1,1,1
atpB,1,1,1,1,1,1,1,1
group_6388,1,1,1,1,1,1,1,1
group_6384,1,1,1,1,1,1,1,1
livG,1,1,1,1,1,1,1,1
group_6354,1,1,1,1,1,1,1,1
group_6352,1,1,1,1,1,1,1,1
group_6344,1,1,1,1,1,1,1,1
group_6339,1,1,1,1,1,1,1,1
pfpI,1,1,1,1,1,1,1,1
group_6322,1,1,1,1,1,1,1,1
group_6320,1,1,1,1,1,1,1,1
sucD,1,1,1,1,1,1,1,1
nadK,1,1,1,1,1,1,1,1
group_6302,1,1,1,1,1,1,1,1
group_6301,1,1,1,1,1,1,1,1
group_6300,1,1,1,1,1,1,1,1
group_6299,1,1,1,1,1,1,1,1
group_6296,1,1,1,1,1,1,1,1
ahpA,1,1,1,1,1,1,1,1
fimX,1,1,1,1,1,1,1,1
group_6283,1,1,1,1,1,1,1,1
group_6282,1,1,1,1,1,1,1,1
group_6281,1,1,1,1,1,1,1,1
crfC,1,1,1,1,1,1,1,1
group_6266,1,1,1,1,1,1,1,1
group_6264,1,1,1,1,1,1,1,1
group_6249,1,1,1,1,1,1,1,1
group_6245,1,1,1,1,1,1,1,1
group_6228,1,1,1,1,1,1,1,1
group_6201,1,1,1,1,1,1,1,1
hisZ,1,1,1,1,1,1,1,1
rnr,1,1,1,1,1,1,1,1
aIM24,1,1,1,1,1,1,1,1
group_6193,1,1,1,1,1,1,1,1
argB,1,1,1,1,1,1,1,1
rimK,1,1,1,1,1,1,1,1
tonB,1,1,1,1,1,1,1,1
group_6182,1,1,1,1,1,1,1,1
glsB,1,1,1,1,1,1,1,1
gfnR,1,1,1,1,1,1,1,1
group_6181,1,1,1,1,1,1,1,1
group_6180,1,1,1,1,1,1,1,1
group_6179,1,1,1,1,1,1,1,1
group_6178,1,1,1,1,1,1,1,1
mpg,1,1,1,1,1,1,1,1
oprP,1,1,1,1,1,1,1,1
desB,1,1,1,1,1,1,1,1
group_6160,1,1,1,1,1,1,1,1
group_6159,1,1,1,1,1,1,1,1
cyoE,1,1,1,1,1,1,1,1
tagQ,1,1,1,1,1,1,1,1
truB,1,1,1,1,1,1,1,1
bauR,1,1,1,1,1,1,1,1
hemF,1,1,1,1,1,1,1,1
yeaD,1,1,1,1,1,1,1,1
cysD,1,1,1,1,1,1,1,1
fliH,1,1,1,1,1,1,1,1
fliJ,1,1,1,1,1,1,1,1
group_6123,1,1,1,1,1,1,1,1
pA2383,1,1,1,1,1,1,1,1
group_6118,1,1,1,1,1,1,1,1
secF,1,1,1,1,1,1,1,1
ftsY~~~dnaX,1,1,1,1,1,1,1,1
yfcE,1,1,1,1,1,1,1,1
livH,1,1,1,1,1,1,1,1
ilvE,1,1,1,1,1,1,1,1
group_6089,1,1,1,1,1,1,1,1
group_6088,1,1,1,1,1,1,1,1
group_6078,1,1,1,1,1,1,1,1
etfA,1,1,1,1,1,1,1,1
group_6072,1,1,1,1,1,1,1,1
oxyR,1,1,1,1,1,1,1,1
rpmG,1,1,1,1,1,1,1,1
pbpG,1,1,1,1,1,1,1,1
group_6063,1,1,1,1,1,1,1,1
pA3349,1,1,1,1,1,1,1,1
arcC,1,1,1,1,1,1,1,1
group_6057,1,1,1,1,1,1,1,1
ynbB,1,1,1,1,1,1,1,1
group_6052,1,1,1,1,1,1,1,1
group_6051,1,1,1,1,1,1,1,1
group_6049,1,1,1,1,1,1,1,1
group_6044,1,1,1,1,1,1,1,1
trhO,1,1,1,1,1,1,1,1
ddlA~~~murC,1,1,1,1,1,1,1,1
ribF,1,1,1,1,1,1,1,1
prs,1,1,1,1,1,1,1,1
group_6027,1,1,1,1,1,1,1,1
yfdV,1,1,1,1,1,1,1,1
ispH,1,1,1,1,1,1,1,1
group_5993,1,1,1,1,1,1,1,1
group_5991,1,1,1,1,1,1,1,1
glyQ,1,1,1,1,1,1,1,1
group_5987,1,1,1,1,1,1,1,1
group_5986,1,1,1,1,1,1,1,1
ybjK,1,1,1,1,1,1,1,1
xcpP,1,1,1,1,1,1,1,1
accA,1,1,1,1,1,1,1,1
ubiH,1,1,1,1,1,1,1,1
add,1,1,1,1,1,1,1,1
pycR,1,1,1,1,1,1,1,1
group_5955,1,1,1,1,1,1,1,1
gshB,1,1,1,1,1,1,1,1
glpF,1,1,1,1,1,1,1,1
ftsZ,1,1,1,1,1,1,1,1
group_5943,1,1,1,1,1,1,1,1
nUC1,1,1,1,1,1,1,1,1
group_5941,1,1,1,1,1,1,1,1
group_5939,1,1,1,1,1,1,1,1
ppk2,1,1,1,1,1,1,1,1
group_5930,1,1,1,1,1,1,1,1
group_5929,1,1,1,1,1,1,1,1
group_5921,1,1,1,1,1,1,1,1
pilJ,1,1,1,1,1,1,1,1
group_5881,1,1,1,1,1,1,1,1
group_5874,1,1,1,1,1,1,1,1
group_5865,1,1,1,1,1,1,1,1
pstS,1,1,1,1,1,1,1,1
dppF,1,1,1,1,1,1,1,1
mraY,1,1,1,1,1,1,1,1
group_5858,1,1,1,1,1,1,1,1
group_5842,1,1,1,1,1,1,1,1
fimD~~~cupB3,1,1,1,1,1,1,1,1
group_5834,1,1,1,1,1,1,1,1
group_5833,1,1,1,1,1,1,1,1
lipA,1,1,1,1,1,1,1,1
group_5822,1,1,1,1,1,1,1,1
ftsL,1,1,1,1,1,1,1,1
group_5818,1,1,1,1,1,1,1,1
group_5816,1,1,1,1,1,1,1,1
trpF,1,1,1,1,1,1,1,1
group_5809,1,1,1,1,1,1,1,1
group_5795,1,1,1,1,1,1,1,1
fadR,1,1,1,1,1,1,1,1
cyoA,1,1,1,1,1,1,1,1
nuoH,1,1,1,1,1,1,1,1
group_5757,1,1,1,1,1,1,1,1
rlhA,1,1,1,1,1,1,1,1
group_5756,1,1,1,1,1,1,1,1
pA1658,1,1,1,1,1,1,1,1
dusB,1,1,1,1,1,1,1,1
group_5746,1,1,1,1,1,1,1,1
group_5745,1,1,1,1,1,1,1,1
group_5741,1,1,1,1,1,1,1,1
argR,1,1,1,1,1,1,1,1
group_5730,1,1,1,1,1,1,1,1
group_5729,1,1,1,1,1,1,1,1
group_5721,1,1,1,1,1,1,1,1
group_5703,1,1,1,1,1,1,1,1
pyrB,1,1,1,1,1,1,1,1
group_5694,1,1,1,1,1,1,1,1
metN2,1,1,1,1,1,1,1,1
group_5693,1,1,1,1,1,1,1,1
moxR,1,1,1,1,1,1,1,1
group_5680,1,1,1,1,1,1,1,1
fbp,1,1,1,1,1,1,1,1
pilM,1,1,1,1,1,1,1,1
group_5678,1,1,1,1,1,1,1,1
group_5661,1,1,1,1,1,1,1,1
group_5658,1,1,1,1,1,1,1,1
fliG,1,1,1,1,1,1,1,1
astA,1,1,1,1,1,1,1,1
gpsA,1,1,1,1,1,1,1,1
phoH,1,1,1,1,1,1,1,1
hemE,1,1,1,1,1,1,1,1
sohB,1,1,1,1,1,1,1,1
group_5613,1,1,1,1,1,1,1,1
bamD,1,1,1,1,1,1,1,1
group_5610,1,1,1,1,1,1,1,1
rsgA,1,1,1,1,1,1,1,1
group_5609,1,1,1,1,1,1,1,1
cprS~~~baeS,1,1,1,1,1,1,1,1
group_5606,1,1,1,1,1,1,1,1
group_5600,1,1,1,1,1,1,1,1
group_5591,1,1,1,1,1,1,1,1
group_5588,1,1,1,1,1,1,1,1
group_5586,1,1,1,1,1,1,1,1
group_5584,1,1,1,1,1,1,1,1
selD,1,1,1,1,1,1,1,1
pilT,1,1,1,1,1,1,1,1
group_5572,1,1,1,1,1,1,1,1
group_5566,1,1,1,1,1,1,1,1
mreB,1,1,1,1,1,1,1,1
group_5558,1,1,1,1,1,1,1,1
yihA,1,1,1,1,1,1,1,1
group_5554,1,1,1,1,1,1,1,1
amiE,1,1,1,1,1,1,1,1
group_5547,1,1,1,1,1,1,1,1
group_5535,1,1,1,1,1,1,1,1
