Gene,Non-unique Gene name,Annotation,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
group_3532,;araC,AraC family transcriptional regulator;AraC-type DNA-binding domain and AraC-containing proteins;AraC family transcriptional regulator ligand-binding domain-containing protein;hypothetical protein,PDAIHB_17185,PBCHDC_19540,KMNHBM_19815,BBDLCB_00530,MADGKI_08530,PBCHDC_19540,PNMAHC_12660,FJKPLL_13165
ampD,ampD;,16-anhydro-N-acetylmuramyl-L-alanine amidase AmpD;hypothetical protein,PDAIHB_14540,PBCHDC_05590,KMNHBM_06120,BBDLCB_16835,MADGKI_04590,PBCHDC_05590,PNMAHC_24790,FJKPLL_23185
nhaP,nhaP,Na(+)/H(+) antiporter NhaP,PDAIHB_06485,PBCHDC_03445,KMNHBM_03445,BBDLCB_10365,MADGKI_00975,PBCHDC_03445,PNMAHC_05845,FJKPLL_19950
group_3527,coxL,aldehyde oxidase,PDAIHB_16555,PBCHDC_21505,KMNHBM_20695,BBDLCB_19485,MADGKI_10495,PBCHDC_21505,PNMAHC_16390,FJKPLL_09545
group_3526,trxB,thioredoxin-disulfide reductase,PDAIHB_09840,PBCHDC_14600,KMNHBM_14820,BBDLCB_14650,MADGKI_17555,PBCHDC_14600,PNMAHC_22470,FJKPLL_04195
group_3525,,hypothetical protein,PDAIHB_08200,PBCHDC_16235,KMNHBM_16460,BBDLCB_12740,MADGKI_19460,PBCHDC_16235,PNMAHC_20270,FJKPLL_05860
group_3524,,flavin-nucleotide-binding protein;hypothetical protein;putative flavin-nucleotide-binding protein pyridoxine 5'-phosphate oxidase superfamily;pyridoxamine 5'-phosphate oxidase family protein;Flavin-nucleotide-binding protein,PDAIHB_05065,PBCHDC_02025,KMNHBM_02025,BBDLCB_03000,MADGKI_06070,PBCHDC_02025,PNMAHC_10175,FJKPLL_15565
glpA,glpA,putative FAD-dependent oxidoreductase PA4991,PDAIHB_01455,PBCHDC_08135,KMNHBM_08135,BBDLCB_05230,MADGKI_19770,PBCHDC_08135,PNMAHC_27655,FJKPLL_25700
oca4~~~tpbA,oca4;tpbA,protein-tyrosine-phosphatase;tyrosine phosphatase TpbA,PDAIHB_06505,PBCHDC_03465,KMNHBM_03465,BBDLCB_10345,MADGKI_00995,PBCHDC_03465,PNMAHC_05860,FJKPLL_19930
group_3516,,NADH:ubiquinone oxidoreductase,PDAIHB_20170,PBCHDC_18410,KMNHBM_18685,BBDLCB_24660,MADGKI_21560,PBCHDC_18410,PNMAHC_30605,FJKPLL_28495
group_3515,,Chlorhexidine efflux transporter,PDAIHB_03205,PBCHDC_00165,KMNHBM_00165,BBDLCB_01460,MADGKI_07600,PBCHDC_00165,PNMAHC_12035,FJKPLL_14085
trpD,trpD;,glycosyl transferase family protein;Glycosyl transferase,PDAIHB_17295,PBCHDC_19650,KMNHBM_19925,BBDLCB_00640,MADGKI_08420,PBCHDC_19650,PNMAHC_12610,FJKPLL_13275
group_3512,,DUF6627 domain-containing protein;PA2779 family protein,PDAIHB_03345,PBCHDC_00305,KMNHBM_00305,BBDLCB_01600,MADGKI_07460,PBCHDC_00305,PNMAHC_11910,FJKPLL_14225
group_3509,,hypothetical protein;N-acetyltransferase,PDAIHB_27150,PBCHDC_23490,KMNHBM_24650,BBDLCB_17755,MADGKI_05510,PBCHDC_23490,PNMAHC_26025,FJKPLL_24075
group_3508,ssuD,LLM class flavin-dependent oxidoreductase,PDAIHB_08110,PBCHDC_16325,KMNHBM_16550,BBDLCB_12650,MADGKI_19550,PBCHDC_16325,PNMAHC_20180,FJKPLL_05950
group_3506,,hypothetical protein,PDAIHB_25730,PBCHDC_12880,KMNHBM_14045,BBDLCB_14855,MADGKI_17350,PBCHDC_12880,PNMAHC_22675,FJKPLL_03970
cHASE1,cHASE1;,hybrid sensor histidine kinase/response regulator;Extracytoplasmic sensor domain CHASE1 (specificity unknown),PDAIHB_23290,PBCHDC_23990,KMNHBM_22305,BBDLCB_26850,MADGKI_25925,PBCHDC_23990,PNMAHC_04720,FJKPLL_21095
group_3501,,DUF811 domain-containing protein;hypothetical protein,PDAIHB_10260,PBCHDC_12165,KMNHBM_12160,BBDLCB_23225,MADGKI_16165,PBCHDC_12165,PNMAHC_02110,FJKPLL_01600
group_3500,ygiQ,YgiQ family radical SAM protein,PDAIHB_01790,PBCHDC_08470,KMNHBM_08470,BBDLCB_05560,MADGKI_20100,PBCHDC_08470,PNMAHC_27320,FJKPLL_25370
group_3499,,DUF2946 domain-containing protein,PDAIHB_06985,PBCHDC_03945,KMNHBM_03945,BBDLCB_09840,MADGKI_01505,PBCHDC_03945,PNMAHC_06380,FJKPLL_19430
waaL,;waaL,ligase;O-antigen ligase family protein;hypothetical protein;O-antigen ligase WaaL,PDAIHB_01415,PBCHDC_08095,KMNHBM_08095,BBDLCB_05190,MADGKI_19730,PBCHDC_08095,PNMAHC_27695,FJKPLL_25740
group_3497,phnB,Anthranilate synthase component 2 pyocyanine specific,PDAIHB_09085,PBCHDC_15350,KMNHBM_15575,BBDLCB_13640,MADGKI_18560,PBCHDC_15350,PNMAHC_21150,FJKPLL_04995
group_3496,ompA;,OmpA family;hypothetical protein,PDAIHB_04355,PBCHDC_01315,KMNHBM_01315,BBDLCB_02280,MADGKI_06785,PBCHDC_01315,PNMAHC_10915,FJKPLL_14855
gmd,gmd,GDP-mannose 46-dehydratase;GDP-D-mannose dehydratase,PDAIHB_20575,PBCHDC_18815,KMNHBM_19090,BBDLCB_24255,MADGKI_21155,PBCHDC_18815,PNMAHC_30155,FJKPLL_28090
group_3495,,FagA protein,PDAIHB_14285,PBCHDC_05845,KMNHBM_05865,BBDLCB_16580,MADGKI_04335,PBCHDC_05845,PNMAHC_24525,FJKPLL_22930
group_3494,,hypothetical protein,PDAIHB_09510,PBCHDC_14925,KMNHBM_15150,BBDLCB_14320,MADGKI_17885,PBCHDC_14925,PNMAHC_22135,FJKPLL_04525
rimO,rimO,30S ribosomal protein S12 methylthiotransferase RimO,PDAIHB_09480,PBCHDC_14955,KMNHBM_15180,BBDLCB_14290,MADGKI_17915,PBCHDC_14955,PNMAHC_22105,FJKPLL_04555
group_3490,,hypothetical protein,PDAIHB_04530,PBCHDC_01490,KMNHBM_01490,BBDLCB_02455,MADGKI_06610,PBCHDC_01490,PNMAHC_10790,FJKPLL_15030
group_3489,;glcG,Haem degrading protein HbpS-like,PDAIHB_12500,PBCHDC_17320,KMNHBM_17820,BBDLCB_11905,MADGKI_13040,PBCHDC_17320,PNMAHC_19535,FJKPLL_06690
group_3483,fecR;,FecR protein;hypothetical protein;Fec operon regulator FecR,PDAIHB_06415,PBCHDC_03375,KMNHBM_03375,BBDLCB_10435,MADGKI_00905,PBCHDC_03375,PNMAHC_05775,FJKPLL_20020
pvdN,pvdN,pyoverdine-tailoring periplasmic protein PvdN,PDAIHB_22680,PBCHDC_22645,KMNHBM_23330,BBDLCB_23545,MADGKI_23345,PBCHDC_22645,PNMAHC_13820,FJKPLL_12150
pvdF,pvdF;,pyoverdine biosynthesis hydroxyornithine transformylase PvdF;N(5)-hydroxyornithine transformylase PvdF,PDAIHB_22670,PBCHDC_22655,KMNHBM_23320,BBDLCB_23535,MADGKI_23355,PBCHDC_22655,PNMAHC_13810,FJKPLL_12160
group_3481,tolC,Outer membrane efflux protein,PDAIHB_24100,PBCHDC_21960,KMNHBM_22945,BBDLCB_17220,MADGKI_04975,PBCHDC_21960,PNMAHC_25255,FJKPLL_23565
group_3480,pdxI,alcohol dehydrogenase,PDAIHB_06940,PBCHDC_03900,KMNHBM_03900,BBDLCB_09885,MADGKI_01460,PBCHDC_03900,PNMAHC_06335,FJKPLL_19475
aroG2,aroG2,3-deoxy-7-phosphoheptulonate synthase class II,PDAIHB_04060,PBCHDC_01020,KMNHBM_01020,BBDLCB_01985,MADGKI_07075,PBCHDC_01020,PNMAHC_11210,FJKPLL_14560
group_3479,tolC,RND transporter,PDAIHB_04030,PBCHDC_00990,KMNHBM_00990,BBDLCB_01955,MADGKI_07105,PBCHDC_00990,PNMAHC_11240,FJKPLL_14530
lmbE,;lmbE,PIG-L family deacetylase,PDAIHB_01400,PBCHDC_08080,KMNHBM_08080,BBDLCB_05175,MADGKI_19715,PBCHDC_08080,PNMAHC_27710,FJKPLL_25755
group_3470,lon,endopeptidase La,PDAIHB_16140,PBCHDC_21090,KMNHBM_21110,BBDLCB_19070,MADGKI_10910,PBCHDC_21090,PNMAHC_16810,FJKPLL_09130
ypfH,ypfH;,carboxylesterase;hypothetical protein;putative esterase,PDAIHB_06615,PBCHDC_03575,KMNHBM_03575,BBDLCB_10215,MADGKI_01130,PBCHDC_03575,PNMAHC_05970,FJKPLL_19800
dauA,dauA,FAD-dependent catabolic D-arginine dehydrogenase DauA,PDAIHB_06595,PBCHDC_03555,KMNHBM_03555,BBDLCB_10235,MADGKI_01110,PBCHDC_03555,PNMAHC_05950,FJKPLL_19820
muxA,muxA,multidrug efflux RND transporter periplasmic adaptor subunit MuxA,PDAIHB_16860,PBCHDC_19215,KMNHBM_19490,BBDLCB_00195,MADGKI_08865,PBCHDC_19215,PNMAHC_13115,FJKPLL_12830
serS,serS,serine--tRNA ligase,PDAIHB_17310,PBCHDC_19665,KMNHBM_19940,BBDLCB_00655,MADGKI_08405,PBCHDC_19665,PNMAHC_12595,FJKPLL_13290
yegS,yegS,lipid kinase YegS,PDAIHB_04995,PBCHDC_01955,KMNHBM_01955,BBDLCB_02930,MADGKI_06140,PBCHDC_01955,PNMAHC_10335,FJKPLL_15495
chpB,chpB,putative methylesterase,PDAIHB_10595,PBCHDC_11830,KMNHBM_11825,BBDLCB_22890,MADGKI_15830,PBCHDC_11830,PNMAHC_02470,FJKPLL_01935
pchP,pchP;,Phosphorylcholine phosphatase;hypothetical protein;phosphorylcholine phosphatase,PDAIHB_25965,PBCHDC_22800,KMNHBM_23960,BBDLCB_25435,MADGKI_24550,PBCHDC_22800,PNMAHC_29305,FJKPLL_27270
aroK,aroK,Shikimate kinase,PDAIHB_01210,PBCHDC_07890,KMNHBM_07890,BBDLCB_04985,MADGKI_10265,PBCHDC_07890,PNMAHC_27900,FJKPLL_25945
elbB,elbB,isoprenoid biosynthesis glyoxalase ElbB,PDAIHB_00115,PBCHDC_06795,KMNHBM_06795,BBDLCB_03890,MADGKI_09170,PBCHDC_06795,PNMAHC_28955,FJKPLL_27035
tfoX,tfoX,competence protein TfoX,PDAIHB_02980,PBCHDC_09660,KMNHBM_09660,BBDLCB_06745,MADGKI_24410,PBCHDC_09660,PNMAHC_26165,FJKPLL_24190
gldG,gldG;,ABC transporter;Putative auxiliary component of ABC transporter,PDAIHB_07590,PBCHDC_04555,KMNHBM_04555,BBDLCB_09240,MADGKI_02105,PBCHDC_04555,PNMAHC_07035,FJKPLL_18835
recJ,recJ,single-stranded-DNA-specific exonuclease RecJ,PDAIHB_07315,PBCHDC_04280,KMNHBM_04280,BBDLCB_09515,MADGKI_01830,PBCHDC_04280,PNMAHC_06690,FJKPLL_19110
group_3445,,DUF4129 domain-containing protein,PDAIHB_13510,PBCHDC_06625,KMNHBM_05085,BBDLCB_15800,MADGKI_03555,PBCHDC_06625,PNMAHC_23550,FJKPLL_22150
group_3444,dadA,gamma-glutamylputrescine oxidoreductase,PDAIHB_03330,PBCHDC_00290,KMNHBM_00290,BBDLCB_01585,MADGKI_07475,PBCHDC_00290,PNMAHC_11925,FJKPLL_14210
group_3442,,protein methyltransferase;Methyltransferase,PDAIHB_23565,PBCHDC_23715,KMNHBM_22580,BBDLCB_26575,MADGKI_26200,PBCHDC_23715,PNMAHC_04995,FJKPLL_20820
uraA,uraA,uracil permease,PDAIHB_27330,PBCHDC_23310,KMNHBM_24470,BBDLCB_17515,MADGKI_05270,PBCHDC_23310,PNMAHC_25550,FJKPLL_23865
blp2,;blp2,hypothetical protein;Ig-like domain-containing protein;Ig-like repeat protein Blp2;Ig-like domain repeat protein;BapA prefix-like domain-containing protein,PDAIHB_16525,PBCHDC_21475,KMNHBM_20725,12_refound_181_stop,13_refound_190_stop,PBCHDC_21475,PNMAHC_16420,FJKPLL_09515
group_3435,tauE,Sulfite exporter TauE/SafE,PDAIHB_16255,PBCHDC_21205,KMNHBM_20995,BBDLCB_19185,MADGKI_10795,PBCHDC_21205,PNMAHC_16695,FJKPLL_09245
lEA,lEA,WHy domain-containing protein,PDAIHB_08900,PBCHDC_15535,KMNHBM_15760,BBDLCB_13455,MADGKI_18745,PBCHDC_15535,PNMAHC_20905,FJKPLL_05180
group_3433,,FAD/FMN-containing dehydrogenase;hypothetical protein,PDAIHB_14600,PBCHDC_05530,KMNHBM_06180,BBDLCB_16895,MADGKI_04650,PBCHDC_05530,PNMAHC_24940,FJKPLL_23240
group_3432,,DUF3094 domain-containing protein,PDAIHB_14620,PBCHDC_05510,KMNHBM_06200,BBDLCB_16915,MADGKI_04670,PBCHDC_05510,PNMAHC_24960,FJKPLL_23260
yrpB,yrpB;,2-nitropropane dioxygenase;nitronate monooxygenase family protein,PDAIHB_11755,PBCHDC_10670,KMNHBM_10665,BBDLCB_21720,MADGKI_14660,PBCHDC_10670,PNMAHC_03860,FJKPLL_03185
selB,selB,selenocysteine-specific translation elongation factor,PDAIHB_02420,PBCHDC_09100,KMNHBM_09100,BBDLCB_06185,MADGKI_20725,PBCHDC_09100,PNMAHC_26710,FJKPLL_24750
mngR,mngR;,GntR family transcriptional regulator,PDAIHB_03800,PBCHDC_00760,KMNHBM_00760,BBDLCB_01725,MADGKI_07335,PBCHDC_00760,PNMAHC_11425,FJKPLL_14345
group_3423,lpxH;,UDP-23-diacylglucosamine hydrolase,PDAIHB_22480,PBCHDC_13675,KMNHBM_13765,BBDLCB_06975,MADGKI_22820,PBCHDC_13675,PNMAHC_09195,FJKPLL_16490
group_3422,;araJ,Sugar (And other) transporter family protein;MFS transporter,PDAIHB_01915,PBCHDC_08595,KMNHBM_08595,BBDLCB_05685,MADGKI_20225,PBCHDC_08595,PNMAHC_27200,FJKPLL_25245
group_3421,adhE,aldehyde dehydrogenase,PDAIHB_01935,PBCHDC_08615,KMNHBM_08615,BBDLCB_05705,MADGKI_20245,PBCHDC_08615,PNMAHC_27180,FJKPLL_25225
group_3420,,hypothetical protein,PDAIHB_10615,PBCHDC_11810,KMNHBM_11805,BBDLCB_22870,MADGKI_15810,PBCHDC_11810,PNMAHC_02490,FJKPLL_01955
wspE~~~cheY,wspE;;cheY,Wsp signal transduction system sensor histidine kinase WspE;hybrid sensor histidine kinase/response regulator;HPt domain-containing protein,PDAIHB_07415,PBCHDC_04380,KMNHBM_04380,BBDLCB_09415,MADGKI_01930,PBCHDC_04380,PNMAHC_06865,FJKPLL_19010
gltA,gltA,citrate synthase,PDAIHB_25195,PBCHDC_13395,KMNHBM_12855,BBDLCB_17905,MADGKI_12075,PBCHDC_13395,PNMAHC_17780,FJKPLL_07965
nfnB,nfnB,nitroreductase family protein,PDAIHB_00400,PBCHDC_07080,KMNHBM_07080,BBDLCB_04175,MADGKI_09455,PBCHDC_07080,PNMAHC_28680,FJKPLL_26750
group_3416,,pilin assembly protein,PDAIHB_07500,PBCHDC_04465,KMNHBM_04465,BBDLCB_09330,MADGKI_02015,PBCHDC_04465,PNMAHC_06945,FJKPLL_18925
xseB,xseB,exodeoxyribonuclease VII small subunit,PDAIHB_23650,PBCHDC_23630,KMNHBM_22665,BBDLCB_26490,MADGKI_26285,PBCHDC_23630,PNMAHC_05080,FJKPLL_20735
benA,benA,benzoate 12-dioxygenase large subunit,PDAIHB_16805,PBCHDC_19160,KMNHBM_19435,BBDLCB_00140,MADGKI_08920,PBCHDC_19160,PNMAHC_13170,FJKPLL_12775
group_3409,pldB,alpha/beta hydrolase,PDAIHB_22045,PBCHDC_14110,KMNHBM_13330,BBDLCB_07430,MADGKI_22365,PBCHDC_14110,PNMAHC_08775,FJKPLL_16930
nfxB,;nfxB,NfxB;hypothetical protein;efflux pump transcriptional repressor NfxB,PDAIHB_24145,PBCHDC_22005,KMNHBM_22900,BBDLCB_17265,MADGKI_05020,PBCHDC_22005,PNMAHC_25295,FJKPLL_23610
purD,purD,Phosphoribosylamine--glycine ligase,PDAIHB_02165,PBCHDC_08845,KMNHBM_08845,BBDLCB_05930,MADGKI_20470,PBCHDC_08845,PNMAHC_26955,FJKPLL_25000
eno,eno,phosphopyruvate hydratase,PDAIHB_07770,PBCHDC_04735,KMNHBM_04735,BBDLCB_09060,MADGKI_02285,PBCHDC_04735,PNMAHC_07215,FJKPLL_18655
corA,corA;,zinc transporter ZntB;Zinc transport protein ZntB,PDAIHB_15705,PBCHDC_20655,KMNHBM_21545,BBDLCB_18890,MADGKI_11090,PBCHDC_20655,PNMAHC_16995,FJKPLL_08950
ppcD,ppcD,phenylphosphate carboxylase subunit delta,PDAIHB_14220,PBCHDC_05910,KMNHBM_05800,BBDLCB_16515,MADGKI_04270,PBCHDC_05910,PNMAHC_24260,FJKPLL_22865
group_3403,oafA;,acyltransferase;hypothetical protein;acyltransferase family protein,PDAIHB_13600,PBCHDC_06535,KMNHBM_05175,BBDLCB_15890,MADGKI_03645,PBCHDC_06535,PNMAHC_23645,FJKPLL_22240
mntH1,mntH1,Nramp family divalent metal transporter,PDAIHB_13580,PBCHDC_06555,KMNHBM_05155,BBDLCB_15870,MADGKI_03625,PBCHDC_06555,PNMAHC_23625,FJKPLL_22220
group_3400,mrcB,glycosyl transferase family 51,PDAIHB_25635,PBCHDC_12785,KMNHBM_14140,BBDLCB_14950,MADGKI_17255,PBCHDC_12785,PNMAHC_22775,FJKPLL_03875
group_3399,;fabG,SDR family oxidoreductase,PDAIHB_23415,PBCHDC_23865,KMNHBM_22430,BBDLCB_26725,MADGKI_26050,PBCHDC_23865,PNMAHC_04845,FJKPLL_20970
group_3397,,hypothetical protein,PDAIHB_03240,PBCHDC_00200,KMNHBM_00200,BBDLCB_01495,MADGKI_07565,PBCHDC_00200,PNMAHC_12000,FJKPLL_14120
group_3394,piuB,Membrane protein putative;PepSY domain-containing protein,PDAIHB_25705,PBCHDC_12855,KMNHBM_14070,BBDLCB_14880,MADGKI_17325,PBCHDC_12855,PNMAHC_22705,FJKPLL_03945
sdaC,sdaC,amino acid permease,PDAIHB_07105,PBCHDC_04065,KMNHBM_04065,BBDLCB_09730,MADGKI_01615,PBCHDC_04065,PNMAHC_06485,FJKPLL_19325
group_3393,,hypothetical protein,PDAIHB_03105,PBCHDC_00065,KMNHBM_00065,BBDLCB_01360,MADGKI_07700,PBCHDC_00065,PNMAHC_12135,FJKPLL_13985
group_3382,surA,Chaperone SurA,PDAIHB_11500,PBCHDC_10925,KMNHBM_10920,BBDLCB_21960,MADGKI_14900,PBCHDC_10925,PNMAHC_03545,FJKPLL_02855
group_3381,;bepA,biofilm formation protein PelB;hypothetical protein,PDAIHB_05195,PBCHDC_02155,KMNHBM_02155,BBDLCB_03130,MADGKI_05940,PBCHDC_02155,PNMAHC_10035,FJKPLL_15695
group_3380,,DUF2169 domain-containing protein,PDAIHB_17710,PBCHDC_25080,KMNHBM_24985,BBDLCB_21370,MADGKI_23680,PBCHDC_25080,PNMAHC_00835,FJKPLL_00305
group_3379,rpoE;,RNA polymerase subunit sigma;hypothetical protein,PDAIHB_12350,PBCHDC_17470,KMNHBM_17970,BBDLCB_12055,MADGKI_13190,PBCHDC_17470,PNMAHC_19685,FJKPLL_06540
group_3378,,DUF4345 domain-containing protein,PDAIHB_02920,PBCHDC_09600,KMNHBM_09600,BBDLCB_06685,MADGKI_24350,PBCHDC_09600,PNMAHC_26225,FJKPLL_24250
btuE,btuE;,glutathione peroxidase;hypothetical protein;Glutathione peroxidase,PDAIHB_03975,PBCHDC_00935,KMNHBM_00935,BBDLCB_01900,MADGKI_07160,PBCHDC_00935,PNMAHC_11295,FJKPLL_14475
gntT,gntT,gluconate transporter,PDAIHB_08820,PBCHDC_15615,KMNHBM_15840,BBDLCB_13375,MADGKI_18825,PBCHDC_15615,PNMAHC_20830,FJKPLL_05260
group_3377,,DUF2914 domain-containing protein,PDAIHB_20450,PBCHDC_18690,KMNHBM_18965,BBDLCB_24375,MADGKI_21275,PBCHDC_18690,PNMAHC_30325,FJKPLL_28215
lasA,;lasA,M23 family peptidase;protease LasA,PDAIHB_16510,PBCHDC_21460,KMNHBM_20740,BBDLCB_19440,MADGKI_10540,PBCHDC_21460,PNMAHC_16440,FJKPLL_09500
group_3376,,hypothetical protein,PDAIHB_27350,PBCHDC_23290,KMNHBM_24450,BBDLCB_17495,MADGKI_05250,PBCHDC_23290,PNMAHC_25530,FJKPLL_23845
elyC,elyC,DUF218 domain-containing protein,PDAIHB_05975,PBCHDC_02935,KMNHBM_02935,BBDLCB_10875,MADGKI_00465,PBCHDC_02935,PNMAHC_05370,FJKPLL_20460
hemY~~~hemYx,hemY;hemYx,heme biosynthesis protein HemY;Uncharacterized protein HemY contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY),PDAIHB_00050,PBCHDC_06730,KMNHBM_06730,BBDLCB_03825,MADGKI_09105,PBCHDC_06730,PNMAHC_29020,FJKPLL_27100
glxA,glxA,AraC family transcriptional regulator,PDAIHB_07005,PBCHDC_03965,KMNHBM_03965,BBDLCB_09820,MADGKI_01525,PBCHDC_03965,PNMAHC_06400,FJKPLL_19410
group_3374,caiB,carnitine dehydratase,PDAIHB_08100,PBCHDC_16335,KMNHBM_16560,BBDLCB_12640,MADGKI_19560,PBCHDC_16335,PNMAHC_20170,FJKPLL_05960
wzzB,;wzzB,G-rich domain on tyrosine kinase family protein;chain-length determining protein;LPS O-antigen chain length determinant protein WzzB;Wzz/FepE/Etk N-terminal domain-containing protein;Chain length determinant protein,PDAIHB_09365,PBCHDC_15070,KMNHBM_15295,BBDLCB_13920,MADGKI_18280,PBCHDC_15070,PNMAHC_21990,FJKPLL_04670
group_3369,uup,ABC transporter ATP-binding protein,PDAIHB_00080,PBCHDC_06760,KMNHBM_06760,BBDLCB_03855,MADGKI_09135,PBCHDC_06760,PNMAHC_28990,FJKPLL_27070
group_3368,ldhA,2-hydroxyacid dehydrogenase,PDAIHB_27445,PBCHDC_23195,KMNHBM_24355,BBDLCB_17400,MADGKI_05155,PBCHDC_23195,PNMAHC_25435,FJKPLL_23750
ybjT,ybjT;,epimerase;hypothetical protein,PDAIHB_10175,PBCHDC_12250,KMNHBM_12245,BBDLCB_23310,MADGKI_16250,PBCHDC_12250,PNMAHC_02030,FJKPLL_01515
group_3367,,Cobalt uptake substrate-specific transmembrane region,PDAIHB_14595,PBCHDC_05535,KMNHBM_06175,BBDLCB_16890,MADGKI_04645,PBCHDC_05535,PNMAHC_24935,FJKPLL_23235
group_3365,yqjQ,short-chain dehydrogenase,PDAIHB_11745,PBCHDC_10680,KMNHBM_10675,BBDLCB_21730,MADGKI_14670,PBCHDC_10680,PNMAHC_03850,FJKPLL_03175
group_3363,,hypothetical protein,PDAIHB_25760,PBCHDC_12910,KMNHBM_14015,BBDLCB_14825,MADGKI_17380,PBCHDC_12910,PNMAHC_22645,FJKPLL_04000
cobL,cobL,Precorrin-6Y C(515)-methyltransferase [decarboxylating],PDAIHB_04390,PBCHDC_01350,KMNHBM_01350,BBDLCB_02315,MADGKI_06750,PBCHDC_01350,PNMAHC_10880,FJKPLL_14890
parS,parS,sensor histidine kinase ParS,PDAIHB_16120,PBCHDC_21070,KMNHBM_21130,BBDLCB_19050,MADGKI_10930,PBCHDC_21070,PNMAHC_16830,FJKPLL_09110
pcaQ,pcaQ,pca operon transcription factor PcaQ,PDAIHB_17990,PBCHDC_25360,KMNHBM_25265,BBDLCB_21095,MADGKI_23955,PBCHDC_25360,PNMAHC_01105,FJKPLL_00580
cysM,cysM,cysteine synthase B,PDAIHB_09395,PBCHDC_15040,KMNHBM_15265,BBDLCB_13950,MADGKI_18250,PBCHDC_15040,PNMAHC_22020,FJKPLL_04640
trpB,trpB,tryptophan synthase subunit beta,PDAIHB_19800,PBCHDC_18040,KMNHBM_18315,BBDLCB_25030,MADGKI_21930,PBCHDC_18040,PNMAHC_00185,FJKPLL_28865
dodA,dodA;,dioxygenase,PDAIHB_19820,PBCHDC_18060,KMNHBM_18335,BBDLCB_25010,MADGKI_21910,PBCHDC_18060,PNMAHC_00165,FJKPLL_28845
dauR,dauR;,Transcriptional regulator DauR;helix-turn-helix domain-containing protein,PDAIHB_06590,PBCHDC_03550,KMNHBM_03550,BBDLCB_10240,MADGKI_01105,PBCHDC_03550,PNMAHC_05945,FJKPLL_19825
group_3354,,phosphoesterase,PDAIHB_00380,PBCHDC_07060,KMNHBM_07060,BBDLCB_04155,MADGKI_09435,PBCHDC_07060,PNMAHC_28700,FJKPLL_26770
group_3352,qdoI,cupin domain-containing protein,PDAIHB_27940,PBCHDC_26595,KMNHBM_24755,BBDLCB_21595,MADGKI_23455,PBCHDC_26595,PNMAHC_00255,FJKPLL_00070
hemD,hemD,uroporphyrinogen-III synthase,PDAIHB_00040,PBCHDC_06720,KMNHBM_06720,BBDLCB_03815,MADGKI_09095,PBCHDC_06720,PNMAHC_29030,FJKPLL_27110
group_3351,tolB,Tol-Pal system beta propeller repeat protein TolB,PDAIHB_09185,PBCHDC_15250,KMNHBM_15475,BBDLCB_13740,MADGKI_18460,PBCHDC_15250,PNMAHC_21810,FJKPLL_04850
group_3350,dadA,D-amino acid dehydrogenase,PDAIHB_26025,PBCHDC_22860,KMNHBM_24020,BBDLCB_25375,MADGKI_24610,PBCHDC_22860,PNMAHC_29370,FJKPLL_27330
group_3349,acrR;,TetR family transcriptional regulator;Putative transcriptional regulator,PDAIHB_09945,PBCHDC_14495,KMNHBM_14715,BBDLCB_14760,MADGKI_17445,PBCHDC_14495,PNMAHC_22580,FJKPLL_04085
argA,argA,amino-acid N-acetyltransferase,PDAIHB_00330,PBCHDC_07010,KMNHBM_07010,BBDLCB_04105,MADGKI_09385,PBCHDC_07010,PNMAHC_28750,FJKPLL_26820
group_3348,,VWFA domain-containing protein,PDAIHB_05250,PBCHDC_02210,KMNHBM_02210,BBDLCB_03190,MADGKI_05880,PBCHDC_02210,PNMAHC_09995,FJKPLL_15750
group_3347,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,PDAIHB_11445,PBCHDC_10980,KMNHBM_10975,BBDLCB_22015,MADGKI_14955,PBCHDC_10980,PNMAHC_03490,FJKPLL_02800
group_3346,menH;,alpha/beta hydrolase;Haloalkane dehalogenase,PDAIHB_05145,PBCHDC_02105,KMNHBM_02105,BBDLCB_03080,MADGKI_05990,PBCHDC_02105,PNMAHC_10085,FJKPLL_15645
mksB,mksB,Mks condensin complex protein MksB,PDAIHB_27135,PBCHDC_23505,KMNHBM_24665,BBDLCB_17770,MADGKI_05525,PBCHDC_23505,PNMAHC_26040,FJKPLL_24090
group_3343,yvrE,gluconolactonase,PDAIHB_12315,PBCHDC_17505,KMNHBM_18005,BBDLCB_12090,MADGKI_13225,PBCHDC_17505,PNMAHC_19720,FJKPLL_06505
group_3342,eAL;,cyclic diguanylate phosphodiesterase;CSS-motif domain-containing protein,PDAIHB_06785,PBCHDC_03745,KMNHBM_03745,BBDLCB_10040,MADGKI_01305,PBCHDC_03745,PNMAHC_06175,FJKPLL_19630
group_3339,mmsB,3-hydroxyisobutyrate dehydrogenase,PDAIHB_25405,PBCHDC_12555,KMNHBM_14370,BBDLCB_15180,MADGKI_17025,PBCHDC_12555,PNMAHC_23010,FJKPLL_03645
group_3334,cccA,cytochrome C,PDAIHB_15505,PBCHDC_20455,KMNHBM_21745,BBDLCB_18690,MADGKI_11290,PBCHDC_20455,PNMAHC_17180,FJKPLL_08750
